№,триггер,глаз,DEL,master_mirror,ось_A_drift (clips misplaced),ось_B_paused (files w/o clips + plugin failure),нарушенный_контракт,реакция_плагина в advanced,"реакция_плагина в Simplified (слой поверх adv, не отменяет)",сигнал_юзеру adv,сигнал_юзеру simplified,итоговое_состояние_row,пути_восстановления adv,пути_восстановления simplified,заметки
1,удалил bin с файлами/файл в Premiere,off,off,off,нет,нет,нет — silent,нет,нет,нет,нет,healthy (без изменений),н/п,н/п,"Eye=off — никакая политика не активна. FS не тронут. Plugin agnostic. Если файлы в FS останутся — будут импортнуты при следующем eye=on / Refresh."
2,удалил bin с файлами/файл в Premiere,on,off,off,нет (clips destroyed → нечего misplaced),ДА (files в FS без clips + plugin failed maintain coverage),"Контракт покрытия (ось B): «eye=on обещает что bin reflects FS folder content»","глаз stored → off (force-pause); manifest cleared для удалённых entries; FS-events queued (не auto-import чтобы избежать retry-loop)","Слой поверх: simplified.broken = true (через event-trigger контракт — см. parked-notes). Глобальный автоимпорт всего mode остановлен.","eye-closed глиф per-row (existing visual)","красный фон тумблера Simplified","healthy + autoimport-paused (sub-state)","(а) Refresh — manual re-import (manifest заполняется снова); (б) mode-toggle Adv→Simplified — то же что Refresh + clear simplified.broken flag; (в) flip eye on в Adv — full policy restore","(а) Refresh — manual re-import + clear simplified.broken; (б) mode-toggle Simplified→Adv→Simplified — то же; (в) уйти в Adv, flip глаз вручную, вернуться","Stored eye=off persists через (а)/(б) — только (в) восстанавливает policy. После (а)/(б) без (в) следующее FS-событие триггерит pause-цикл снова. Mediator: policy change требует explicit per-row act."
2.b,нажал cancel во время autoimport-импорта,on,любой,любой,зависит (если cancel mid-batch — partial clips где-то могут быть; обычно нет),ДА (plugin failed complete the import job),Контракт покрытия (ось B),глаз stored → off; manifest reflects partial state,Слой поверх: simplified.broken = true,eye-closed глиф,красный фон тумблера,healthy + autoimport-paused,Refresh / mode-toggle / eye flip — те же 3 пути,Refresh / mode-toggle,Тот же flow что #2. Autocancel (см. #11.new) — same.
3,удалил bin с файлами/файл в Premiere,on,on,on,нет (clips destroyed),нет (это deliberate intent через 3-way handshake),Контракт Mirror DEL — explicit 3-way handshake (eye=on + DEL=on + master=on),таймер (5с по умолчанию) → если не отменён → OS trash через §9 flow; row удаляется,"Невозможен в Simplified — DEL column hidden (#41 spec). При эффективно DEL=off попадает в case #2.","timer виден только в progress panel; LED state mirror-deleting (по §9). Countdown ring на DEL-ячейке — PARKED (см. parked-notes)",Н/П (case недоступен в Simplified),mirror-deleting (transient) → row удалён,Cancel в окне прогресса (галка DEL автоматом снимется + autoimport стопанется),Н/П,"Покрыто §9. Row исчезает (не Missing) — Aксиома асимметричной неоднозначности. Mirror DEL fires по diff: если diff suspicious → import wins (см. parked-notes safety hierarchy)."
4,переместил/переименовал bin С CLIPS из родительского,любой,любой,любой,ДА (clips moved with bin → misplaced),нет (plugin не tried import — нечему failed; dedup OK для existing),"Контракт паритета структуры (ось A): «clips для FS-файлов должны быть в bin для соотв. row»","orphan'им old bin (где переехал, помечаем 'чужим'); recreate empty bin in SoT position при следующем FS-event для row; Mirror DEL force-disabled для drifted row до restore (§9 structure-lock сохраняем)","то же что adv (drift = local issue, не affects mode globally)","4px solid accentFill (dark blue, drifted-state) — cascade up to root","то же что adv (LED видна в Simplified). Тумблер НЕ красный (mode продолжает работать).",drifted (cascade up to root),Magnet (move scattered clips into recreated bin),"Magnet (если доступен в Simplified header — см. parked-notes; иначе — выйти в Adv → Magnet)","Magnet = инструмент ТОЛЬКО оси A. Side-files в orphan bin сохраняются (mediator не trogает не свое — Herder Bucket DROPPED). После Magnet → row → healthy."
4',переместил ПУСТОЙ bin (без clips),любой,любой,любой,нет (нечего misplaced),нет (FS folder может быть пустой или с files которые еще не импортнуты),нет — orphan instantly,"orphan'им мгновенно; recreate bin in SoT position при следующем FS-event для row через autoimport; Mirror DEL не affected (нечего trash)",то же что adv,нет (row остаётся healthy),нет,"healthy (row healthy, orphan bin лежит где переехал)",Refresh (recreate bin if FS has files); или появится файл в FS — autoimport recreate (если eye=on),Refresh; FS-event авто (eye=on global),"Sub-case #4 для empty bin. Нет drift потому что нечего misplaced. Импорт triggers only files, не folders/bins."
5,переместил файл из bin (Premiere drag в чужой bin),любой,любой,любой,ДА (file-level misplacement),нет,Контракт паритета структуры (ось A) — sub-case #4 на file level,то же что #4,то же что #4,"4px solid accentFill (drifted, cascade up to root)",то же что adv (drift = local issue),drifted (file-level sub-axis),Magnet (pull file back to correct bin),Magnet,"Sub-case #4 file-level. В spec §1 demo разделить bin-level vs file-level drift."
5.1,переименовал файл в bin (Premiere clip rename),любой,любой,любой,нет (cosmetic — Premiere clip name отдельно от FS file name),нет,нет (cosmetic),нет,нет,нет,нет,healthy (без изменений),н/п,н/п,"Premiere clip rename — user-cosmetic, не SoT. FS file name unchanged. Plugin agnostic."
6,добавил side-file в наш bin (Premiere import вне SheepDog flow),любой,любой,любой,"нет (over-representation, mediator не лезет)",нет,нет — side-files принадлежат юзеру,ничего,ничего,нет,нет,healthy,"н/п. Magnet НЕ выкидывает side-files (Herder Bucket DROPPED). Side-file остаётся в bin untouched.",н/п,"Под-уровень polish: тонкий info indicator 'bin содержит side-files' (parked, см. parked-notes)."
7,удалил файл в Finder (FS-side single file),любой,любой,любой,нет (folder OK),нет (Premiere сам показывает offline для удалённого файла),(нет контракта со стороны плагина — file-level FS event),"row остаётся healthy. Folder сам жив — это Premiere'овская проблема с offline clip reference",то же что adv,нет (folder LED не меняется),нет,healthy,"н/п с нашей стороны. Юзер relink-ит clip в Premiere через native UI, или удаляет clip из bin (тогда #2)",Н/П (file-level relink — Premiere native),"Missing — это folder-level state, НЕ file-level. Premiere handles offline file references natively. Plugin не intervenes на file-level."
8,драйв offline / отвал шары / удалил папку / переименовал папку в Finder,любой,любой,любой,нет (clips остались в Premiere offline),нет (file/folder gone — нет policy violation),"(нет контракта — environmental событие). Triggered Аксиомой асимметричной неоднозначности",row → missing (subtype: enoent / offline / eacces / other),то же что adv,4px solid red + ⚠ перед путём,4px solid red + ⚠-индикатор виден через STATE LED,missing,Relink (⌕) или × для очистки stale config-записи; reconnect drive,Relink (⌕ — есть в LNK column в Simplified) или × для очистки,"Folder-level state. Per FS axiom: ambiguous → always Missing (could be user delete / offline / eacces). Retry strategy: offline = passive backoff; enoent = no retry."
9,юзер сам toggle-нул eye=off в Advanced,(было on),любой,любой,нет,нет (явный act),(нет — explicit user act),"manifest сохраняется (на случай восстановления); pending imports cancellable (если еще идут — продолжатся, новых не будет)",Н/П (в Simplified нет per-row eye UI),eye-closed глиф (existing); LBL-dot stays as set,Н/П (case недоступен в Simplified),healthy + eye-off (clean user-disabled),flip eye обратно on,Н/П,"Отличается от #2 — здесь explicit user act, без violation. Конечное видимое состояние то же что #2 stable phase, но reached deliberately."
10,юзер кликнул × на healthy child row,любой,любой,любой,нет,нет (явный act),(нет — explicit user act),row force-disabled; stored values сохранены; ImportFiles ignored для row,то же что adv (× доступен в обоих modes),серая 6px hollow (disabled),серая 6px hollow,disabled,← (arrow-left в RM column) для restore,← (arrow-left в RM column),Покрыто §1 × matrix. Soft-stop family.
11,partial manual import + watch folder add (some files уже в Premiere в чужих bins по dedup),любой,любой,любой,"ДА (clips misplaced — лежат в чужих bins, не в нашем)","нет (plugin tried — dedup это OK behavior, не failure)",Контракт паритета структуры (ось A),manifest enriched с dedup-rejected entries (existing clipIDs); drift detected — clips где-то в Premiere но не у нас,то же что adv,4px solid accentFill (drifted),то же что adv,drifted,Magnet (move clips из чужих bins в наш target bin),Magnet (см. parked-notes),"Real QA case. Magnet expanded scope: pull scattered clips. Без drift signal — юзер винит плагин что 'не импортнул', хотя clips уже в проекте где-то."
11.new,autocancel из-за non-dedup import failure (Premiere broke import),on,любой,любой,нет (нечего misplaced — import failed),ДА (plugin failed import via autocancel),Контракт покрытия (ось B),"глаз stored → off; manifest reflects state на момент failure; force-pause чтобы prevent retry-loop",Слой поверх: simplified.broken = true,"eye-closed глиф; tooltip 'unknown import failure — try relaunch premiere' (parked, см. parked-notes)",красный фон тумблера + tooltip,healthy + autoimport-paused,Refresh (retry import) / mode-toggle / eye flip,Refresh / mode-toggle,"Real QA case. Уже implemented как autocancel в MVP. Footer tip — parked для polish."
12,Renamed BIN в Premiere (label change без move),любой,любой,любой,нет (label = display setting; mapping через internal ID intact),нет (autoimport продолжает работать),нет — silent,"nothing (manifest mapping использует Premiere internal bin ID, не label; label = display attribute)",nothing,"nothing (в SOURCE NAME mode — default — display показывает FS-derived имя; custom label видим в BIN NAME mode через RMB на column header)",nothing,healthy (без изменений),н/п,н/п,"Custom labeling allowed. Column header называется 'SOURCE NAME' (default mode). RMB на header → context menu → toggle 'BIN NAME' mode → display переключается на Premiere's bin label. ЛКМ на header = sort (стандарт). Plugin внутренне всегда знает оба имени. См. parked-notes 'Source/Bin Name display toggle' для UX контракта."
13,empty bin in Premiere with eye=on (юзер удалил clip-references),on,off,off,нет (clips destroyed),ДА (files в FS без clips + plugin failure),Контракт покрытия (ось B),то же что #2 (case identical structurally),то же что #2,eye-closed глиф,красный фон тумблера,healthy + autoimport-paused,те же 3 пути что #2,те же что #2,Identical to case #2 — partial vs full bin clearing — no functional difference.
